Obs;HHMMSS;Treatment;Tree;aux1;FTime;EBal?;Photo;Cond;Ci;Trmmol;VpdL;CTleaf;Area;BLC_1;StmRat;BLCond;Tair;Tleaf;TBlk;CO2R;CO2S;H2OR;H2OS;RH_R;RH_S;Flow;PARi;PARo;Press;CsMch;HsMch;StableF;BLCslope;BLCoffst;f_parin;f_parout;alphaK;Status;fda;Trans;Tair_K;Twall_K;R(W/m2);Tl-Ta;SVTleaf;h2o_i;h20diff;CTair;SVTair;CndTotal;vp_kPa;VpdA;CndCO2;Ci_Pa;Ci/Ca;RHsfc;C2sfc;AHs/Cs
1;16:24:41;;c35;0;141,5;1;12,43189515;0,168876503;255,7521577;3,103932677;1,713357291;26,3196712;3;5;0;5;30,17264175;25,7426815;28,0293026;400,2735596;386,6621704;15,55850792;18,60008621;33,53881836;40,09542084;300,45578;1498,069946;108,4235001;92,75539398;17,05062866;0,526110053;1;0;5;1;0;0,159999996;111115;1,001519267;0,003103933;298,8926815;303,3226418;239,691186;0,576989702;3,438615615;37,07186685;18,47178064;25,7426815;3,323221041;0,163359004;1,725258325;1,597962716;0,102581157;23,72239215;0,661435686;50,42090341;383,3055587;0,016353204
2;16:26:46;;c35;0;266,5;1;9,148273475;0,187005555;202,3159503;3,232633848;1,617479985;25,95745456;3;5;0;5;30,50995445;25,36920166;27,99294281;300,1936646;290,1222839;15,68171597;18,84877968;33,15674591;39,85305023;300,4394226;1500,082642;106,6054153;92,75363922;17,05062866;0,526110053;1;0;5;1;0;0,159999996;111115;1,001464742;0,003232634;298,5192017;303,6599545;240,0132173;0,5882529;3,365772895;36,28723276;17,43845308;25,36920166;3,250343749;0,180263499;1,74829291;1,502050839;0,113251622;18,76554067;0,697347159;52,36258806;287,6522501;0,016652999
3;16:28:47;;c35;0;387,5;1;5,974403606;0,213578154;162,090916;3,394712579;1,495534007;25,42867172;3;5;0;5;30,49745178;24,8447628;27,9122982;220,1226959;213,4342346;15,71882439;19,04367447;33,25804901;40,29279709;300,47052;1500,714355;85,5747757;92,75099945;17,05062866;0,526110053;1;0;5;1;0;0,159999996;111115;1,0015684;0,003394713;297,9947628;303,6474518;240,1142915;0,58390892;3,261853847;35,16785659;16,12418212;24,8447628;3,150368088;0,204828764;1,76631984;1,384048247;0,128776319;15,03409446;0,759441972;54,8039707;211,8211456;0,015457429
4;16:31:21;;c35;0;541;1;0,772707561;0,221900819;129,4290918;3,427996623;1,456162481;25,20084413;3;5;0;5;30,66544724;24,60411644;27,95388412;139,8973999;138,6513824;15,63861847;18,99614334;32,76967239;39,80514145;300,478302;1501,481323;71,76965332;92,74455261;18,36560059;0,455860496;0,666666687;0;5;1;0;0,159999996;111115;1,00159434;0,003427997;297,7541164;303,8154472;240,2370063;0,596727686;3,217951297;34,6969305;15,70078716;24,60411644;3,105399603;0,212471308;1,761788816;1,343610787;0,133610735;12,00384321;0,933485765;55,47638455;138,4427514;0,003096372
5;16:33:55;;c35;0;695;1;-2,030367765;0,235752198;74,74177283;3,410570641;1,368183479;24,6368547;3;5;0;5;30,17639732;24,0351429;27,90554047;60,23689651;62,05287552;15,4556675;18,79706383;33,30559158;40,50600052;300,4548035;1501,304932;60,88037872;92,74324036;17,12280655;0,43939054;1;0;5;1;0;0,159999996;111115;1,001516012;0,003410571;297,1851429;303,3263973;240,2087837;0,601711799;3,111484088;33,54944334;14,75237951;24,0351429;3,001302805;0,225136895;1,743300609;1,258002196;0,141627268;6,931794202;1,204485243;56,87928237;62,60107482;-0,018447904
6;16:36:25;;c35;0;845;1;14,01793368;0,224691225;272,3848146;3,431325814;1,440860878;24,95046;3;5;0;5;29,53274727;24,39782143;28,08095932;399,6915283;384,3782349;15,28543282;18,64759827;34,1806488;41,69898224;300,4617004;1498,785889;52,51725006;92,74317932;17,12280655;0,43939054;1;0;5;1;0;0,159999996;111115;1,001539001;0,003431326;297,5478214;302,6827473;239,8057368;0,552638574;3,170298428;34,18362894;15,53603067;24,39782143;3,067297858;0,215028234;1,72943755;1,337860308;0,135228638;25,26183371;0,708637456;55,32570793;380,5933928;0,020377445
7;16:38:40;;c35;0;980;1;17,42505733;0,21776382;337,3467916;3,389323019;1,466560433;25,02675928;3;5;0;5;29,7802639;24,45888329;28,04821205;499,7388306;480,716156;15,20492363;18,52592468;33,5202179;40,84157562;300,4996948;1498,614746;49,92017365;92,7453537;17,12280655;0,43939054;1;0;5;1;0;0,159999996;111115;1,001665649;0,003389323;297,6088833;302,9302639;239,778354;0,567875992;3,18475387;34,33868914;15,81276446;24,45888329;3,078532891;0,208675428;1,718193437;1,360339454;0,131209322;31,28734751;0,701758798;54,67440403;476,0113905;0,020014324
8;16:40:47;;c35;0;1107;1;24,30491474;0,208629474;562,3603303;3,359816803;1,514492155;25,27785395;3;5;0;5;30,45035553;24,68603134;28,00115013;800,0991821;773,2384644;15,23274517;18,52515602;32,3168602;39,30183792;300,4706116;1496,550903;49,08656311;92,75176239;17,12280655;0,43939054;1;0;5;1;0;0,159999996;111115;1,001568705;0,003359817;297,8360313;303,6003555;239,4481392;0,591822606;3,232733025;34,85360215;16,32844612;24,68603134;3,120643268;0,200272907;1,71824087;1,402402398;0,125895454;52,15991174;0,727279302;53,79464983;766,6761374;0,017053803
9;16:43:13;;c35;0;1253;1;27,01923864;0,198946733;723,0844449;3,277824865;1,546265262;25,45615909;3;5;0;5;30,43662643;24,85706711;27,86309814;1001,026672;970,8742676;15,34205437;18,55382347;32,57475281;39,39408493;300,4894104;1499,434326;49,26590347;92,75288391;17,12280655;0,43939054;1;0;5;1;0;0,159999996;111115;1,001631368;0,003277825;298,0070671;303,5866264;239,9094868;0,599091983;3,267185896;35,2246287;16,67080522;24,85706711;3,152682551;0,191333691;1,720920635;1,431761916;0,120245006;67,06816758;0,744776609;53,22621564;963,5790731;0,014924897
10;16:45:27;;c35;0;1387,5;1;30,28510723;0,184478219;1157,750958;3,191197565;1,618123312;25,88159198;3;5;0;5;30,87117004;25,26635933;27,9227314;1501,082886;1466,174316;15,55243778;18,6790657;32,21182632;38,68762207;300,4760132;1499,232422;47,50548172;92,7543869;17,12280655;0,43939054;1;0;5;1;0;0,159999996;111115;1,001586711;0,003191198;298,4163593;304,02117;239,8771821;0,615232646;3,350688599;36,12431402;17,44524831;25,26635933;3,230522919;0,177913968;1,732565287;1,497957632;0,111767926;107,3864803;0,78964073;52,11395314;1457,997337;0,010824963
1;14:57:21;;c30;0;137;1;12,29496005;0,128322085;221,3174972;2,70673301;1,953895372;26,50548164;2,8;5;0;5;27,71133995;25,98186493;27,93361092;400,9752197;388,5042114;13,91756248;16,40524292;34,61738968;40,80503845;299,6574402;1499,088989;177,7134399;92,81292725;16,91073227;0,590338111;1;0;5;1;0;0,159999996;111115;1,070205144;0,002706733;299,1318649;300,86134;239,8542329;0,523616711;3,47651399;37,45721736;21,05197444;25,98186493;3,370639179;0,12511118;1,522618618;1,848020561;0,078476764;20,54112477;0,569665632;43,68702137;385,1845722;0,013944748
2;14:59:22;;c30;0;258;1;8,645508392;0,130031889;174,5056979;2,753620376;1,962135171;26,56718432;2,8;5;0;5;27,75266075;26,05208015;27,93299294;300,1512146;291,3221436;13,92144108;16,45241928;34,54462433;40,82498932;299,6188049;1499,783691;172,7658234;92,81578827;16,91073227;0,590338111;1;0;5;1;0;0,159999996;111115;1,07006716;0,00275362;299,2020802;300,9026608;239,9653853;0,515104169;3,489179435;37,59252063;21,14010135;26,05208015;3,384671079;0,126735946;1,527044264;1,857626815;0,079499636;16,19688391;0,599012817;43,66831435;288,9878563;0,013064036
3;15:01:53;;c30;0;409;1;2,480191755;0,125450339;178,2236023;2,743919094;2,024064935;26,89604926;2,8;5;0;5;27,82978058;26,39055824;27,97027016;220,4864655;217,6107941;13,99741173;16,51918983;34,57843781;40,80809784;299,6321106;1499,897095;172,6942139;92,81938934;19,66569138;0,56968534;1;0;5;1;0;0,159999996;111115;1,070114681;0,002743919;299,5405582;300,9797806;239,9835298;0,505491019;3,557366048;38,32567821;21,80648838;26,39055824;3,453031137;0,122379821;1,533301113;1,919730024;0,076757453;16,54260593;0,819001663;42,92977141;216,9411423;0,00490797
